# File generated by CMD 3.7 (http://stev.oapd.inaf.it/cmd) on Fri Jun 28 02:49:43 UTC 2024
# isochrones based on PARSEC release v1.2S +  COLIBRI S_37 + S_35 + PR16
# Basic references: Bressan et al. (2012), MNRAS, 427, 127 + Chen et al. (2014, 2015), MNRAS, 444, 2525 + MNRAS, 452, 1068 + Tang et al. (2014), MNRAS, 445, 4287 + Marigo et al. (2017), ApJ, 835, 77 + Pastorelli al. (2019), MNRAS, 485, 5666 + Pastorelli al. (2020), MNRAS, in press
# Thermal pulse cycles included 
# On RGB, assumed Reimers mass loss with efficiency eta=0.2
# LPV periods and growth rates added cf. Trabucchi et al. (2019)
# but fundamental-mode LPV periods are from Trabucchi et al. (2021)
# Photometric system:  2MASS <i>JHK</i><sub>s</sub>
# Using YBC version of bolometric corrections as in Chen et al. (2019)
# O-rich circumstellar dpmod60alox40 dust from Groenewegen (2006)
# C-rich circumstellar AMCSIC15 dust from Groenewegen (2006)
# IMF: Kroupa (2001, 2002) + Kroupa et al. (2013) canonical two-part-power law IMF corrected for unresolved binaries 
# Kind of output: isochrone tables
# Zini     MH   logAge Mini        int_IMF         Mass   logL    logTe  logg  label   McoreTP C_O  period0  period1  period2  period3  period4  pmode  Mloss  tau1m   X   Y   Xc  Xn  Xo  Cexcess  Z 	 mbolmag  Jmag    Hmag    Ksmag
0.00015547 -2.00000 10.07918 0.7908694744 2.4154888490    0.789  0.703  3.7727  3.675    2  0.000  0.530     0.00     0.00     0.00     0.00     0.00 -1 -1.03e-12      0.00 8.390e-01 1.609e-01 2.054e-05 5.653e-06 5.166e-05 -1.000 8.826e-05 3.012 1.998 1.680 1.634
0.00015547 -2.00000 10.07918 0.7916075587 2.4157535946    0.790  0.731  3.7648  3.616    2  0.000  0.533     0.00     0.00     0.00     0.00     0.00 -1 -1.18e-12      0.00 8.110e-01 1.888e-01 2.322e-05 6.372e-06 5.809e-05 -1.000 1.181e-04 2.943 1.892 1.560 1.509
0.00015547 -2.00000 10.07918 0.7922626138 2.4159880831    0.791  0.761  3.7578  3.558    2  0.000  0.535     0.00     0.00     0.00     0.00     0.00 -1 -1.35e-12      0.00 7.921e-01 2.078e-01 2.501e-05 6.849e-06 6.236e-05 -1.000 1.167e-04 2.866 1.784 1.439 1.384
0.00015547 -2.00000 10.07918 0.7929115295 2.4162199347    0.791  0.801  3.7514  3.493    2  0.000  0.536     0.00     0.00     0.00     0.00     0.00 -1 -1.58e-12      0.00 7.808e-01 2.191e-01 2.608e-05 7.137e-06 6.492e-05 -1.000 1.547e-04 2.768 1.657 1.302 1.242
0.00015547 -2.00000 10.07918 0.7934238315 2.4164026674    0.792  0.839  3.7473  3.438    2  0.000  0.536     0.00     0.00     0.00     0.00     0.00 -1 -1.85e-12      0.00 7.753e-01 2.245e-01 2.660e-05 7.275e-06 6.616e-05 -1.000 1.636e-04 2.672 1.541 1.179 1.116
0.00015547 -2.00000 10.07918 0.7937740684 2.4165274371    0.792  0.869  3.7448  3.399    2  0.000  0.536     0.00     0.00     0.00     0.00     0.00 -1 -2.07e-12      0.00 7.725e-01 2.273e-01 2.686e-05 7.346e-06 6.679e-05 -1.000 1.637e-04 2.598 1.456 1.090 1.025
0.00015547 -2.00000 10.07918 0.7940821648 2.4166370899    0.792  0.899  3.7431  3.362    3  0.000  0.536     0.00     0.00     0.00     0.00     0.00 -1 -2.31e-12      0.00 7.707e-01 2.291e-01 2.703e-05 7.388e-06 6.717e-05 -1.000 1.448e-04 2.523 1.374 1.004 0.938
0.00015547 -2.00000 10.07918 0.7944860458 2.4167806847    0.793  0.940  3.7410  3.313    3  0.000  0.537     0.00     0.00     0.00     0.00     0.00 -1 -2.68e-12      0.00 7.685e-01 2.313e-01 2.721e-05 7.437e-06 6.760e-05 -1.000 1.424e-04 2.420 1.262 0.888 0.821
0.00015547 -2.00000 10.07918 0.7948929667 2.4169251906    0.793  0.984  3.7391  3.262    3  0.000  0.537     0.00     0.00     0.00     0.00     0.00 -1 -3.15e-12      0.00 7.666e-01 2.333e-01 2.736e-05 7.477e-06 6.796e-05 -1.000 1.407e-04 2.311 1.144 0.766 0.698
0.00015547 -2.00000 10.07918 0.7952827215 2.4170634410    0.793  1.028  3.7374  3.211    3  0.000  0.537     0.00     0.00     0.00     0.00     0.00 -1  -3.7e-12      0.00 7.648e-01 2.350e-01 2.747e-05 7.509e-06 6.825e-05 -1.000 1.624e-04 2.199 1.025 0.643 0.574
0.00015547 -2.00000 10.07918 0.7956970334 2.4172102313    0.793  1.079  3.7356  3.153    3  0.000  0.537     0.00     0.00     0.00     0.00     0.00 -1 -4.44e-12      0.00 7.631e-01 2.367e-01 2.758e-05 7.539e-06 6.851e-05 -1.000 1.637e-04 2.072 0.890 0.504 0.434
0.00015547 -2.00000 10.07918 0.7960445881 2.4173332341    0.794  1.125  3.7341  3.102    3  0.000  0.537     0.00     0.00     0.00     0.00     0.00 -1 -5.23e-12      0.00 7.617e-01 2.381e-01 2.766e-05 7.561e-06 6.870e-05 -1.000 1.636e-04 1.958 0.770 0.379 0.309
0.00015547 -2.00000 10.07918 0.7963963151 2.4174575878    0.794  1.175  3.7326  3.046    3  0.000  0.537     0.00     0.00     0.00     0.00     0.00 -1 -6.26e-12      0.00 7.603e-01 2.395e-01 2.772e-05 7.580e-06 6.887e-05 -1.000 1.464e-04 1.834 0.639 0.244 0.173
0.00015547 -2.00000 10.07918 0.7967413664 2.4175794587    0.794  1.228  3.7310  2.986    3  0.000  0.536     0.00     0.00     0.00     0.00     0.00 -1 -7.57e-12      0.00 7.590e-01 2.409e-01 2.777e-05 7.599e-06 6.902e-05 -1.000 1.506e-04 1.701 0.499 0.100 0.029
0.00015547 -2.00000 10.07918 0.7970198989 2.4176777468    0.794  1.275  3.7295  2.934    3  0.000  0.536     0.00     0.00     0.00     0.00     0.00 -1 -8.96e-12      0.00 7.579e-01 2.420e-01 2.779e-05 7.616e-06 6.912e-05 -1.000 1.616e-04 1.584 0.375 -0.027 -0.099
