#Mini MPD Rad MJ_2M MH_2M MK_2M MZ087 MW146 MF213 MHw JH JKs HKs medianJ medianH medianKs sigmaJ sigmaH sigmaKs maxJ maxH maxKs minJ minH minKs medianJH medianJKs medianHKs sigmaJH sigmaJKs sigmaHKs maxJH maxJKs maxHKs minJH minJKs minHKs counts
0.25  0.25  0.266  8.305  7.709  7.462  9.427  8.233  7.507  8.164  0.596  0.843  0.247  7.892  7.332  7.135  0.242  0.219  0.19  8.356  7.752  7.497  7.657  7.128  6.957  0.559  0.757  0.198  0.023  0.052  0.029  0.604  0.859  0.255  0.529  0.7  0.171  112.0
0.3  0.3  0.306  7.918  7.319  7.078  8.991  7.838  7.12  7.776  0.599  0.84  0.241  7.517  6.955  6.758  0.235  0.211  0.183  7.97  7.364  7.116  7.292  6.765  6.599  0.562  0.759  0.198  0.025  0.052  0.028  0.606  0.854  0.248  0.527  0.693  0.166  113.0
0.341  0.341  0.341  7.629  7.027  6.79  8.67  7.543  6.83  7.487  0.602  0.839  0.237  7.629  7.027  6.79  0.3  0.3  0.3  999.0  999.0  999.0  -999.0  -999.0  -999.0  0.602  0.839  0.237  0.2  0.2  0.2  10.0  10.0  10.0  -10.0  -10.0  -10.0  0.0
0.35  0.35  0.349  7.569  6.966  6.73  8.604  7.481  6.769  7.426  0.603  0.839  0.236  7.214  6.65  6.455  0.214  0.188  0.16  7.617  7.007  6.765  6.996  6.473  6.313  0.564  0.759  0.195  0.027  0.055  0.028  0.61  0.852  0.243  0.523  0.682  0.159  113.0
0.4  0.4  0.393  7.23  6.62  6.39  8.222  7.132  6.426  7.086  0.61  0.84  0.23  6.873  6.305  6.119  0.201  0.171  0.142  7.283  6.667  6.431  6.703  6.187  6.036  0.568  0.754  0.186  0.031  0.061  0.03  0.616  0.852  0.236  0.516  0.667  0.151  113.0
0.45  0.45  0.443  6.875  6.257  6.033  7.821  6.766  6.065  6.728  0.618  0.842  0.224  6.485  5.91  5.746  0.21  0.175  0.141  6.939  6.314  6.085  6.353  5.856  5.717  0.575  0.739  0.164  0.041  0.075  0.035  0.625  0.855  0.23  0.497  0.633  0.136  115.0
0.5  0.5  0.496  6.508  5.879  5.662  7.398  6.384  5.688  6.359  0.629  0.846  0.217  6.061  5.519  5.392  0.221  0.174  0.134  6.582  5.947  5.725  5.977  5.477  5.35  0.567  0.695  0.128  0.059  0.096  0.042  0.636  0.858  0.223  0.466  0.585  0.119  113.0
0.519  0.519  0.517  6.356  5.721  5.51  7.22  6.226  5.533  6.205  0.635  0.846  0.211  6.356  5.721  5.51  0.3  0.3  0.3  999.0  999.0  999.0  -999.0  -999.0  -999.0  0.635  0.846  0.211  0.2  0.2  0.2  10.0  10.0  10.0  -10.0  -10.0  -10.0  0.0
0.55  0.55  0.553  6.114  5.467  5.269  6.941  5.973  5.288  5.96  0.647  0.845  0.198  5.635  5.145  5.042  0.24  0.166  0.123  6.203  5.553  5.344  5.555  5.092  4.988  0.512  0.614  0.105  0.083  0.124  0.044  0.65  0.859  0.209  0.426  0.53  0.101  113.0
0.6  0.6  0.601  5.734  5.066  4.907  6.502  5.579  4.92  5.575  0.668  0.827  0.159  5.242  4.824  4.735  0.233  0.126  0.093  5.834  5.163  4.985  5.146  4.77  4.683  0.427  0.515  0.089  0.113  0.144  0.033  0.671  0.849  0.178  0.373  0.46  0.086  130.0
