#Mini MPD Rad MV_j MI_c MJ_2M MH_2M MK_2M MHw JH JKs HKs medianJ medianH medianKs sigmaJ sigmaH sigmaKs maxJ maxH maxKs minJ minH minKs medianJH medianJKs medianHKs sigmaJH sigmaJKs sigmaHKs maxJH maxJKs maxHKs minJH minJKs minHKs counts
0.21  0.21  0.234  12.997  10.067  8.542  7.94  7.601  8.4  0.602  0.941  0.339  8.542  7.94  7.601  0.3  0.3  0.3  999.0  999.0  999.0  -999.0  -999.0  -999.0  0.602  0.941  0.339  0.2  0.2  0.2  10.0  10.0  10.0  -10.0  -10.0  -10.0  0.0
0.24  0.24  0.257  12.539  9.727  8.253  7.662  7.33  8.113  0.591  0.923  0.332  8.253  7.662  7.33  0.3  0.3  0.3  999.0  999.0  999.0  -999.0  -999.0  -999.0  0.591  0.923  0.332  0.2  0.2  0.2  10.0  10.0  10.0  -10.0  -10.0  -10.0  0.0
0.27  0.27  0.278  12.138  9.431  7.997  7.413  7.09  7.859  0.584  0.907  0.323  7.997  7.413  7.09  0.3  0.3  0.3  999.0  999.0  999.0  -999.0  -999.0  -999.0  0.584  0.907  0.323  0.2  0.2  0.2  10.0  10.0  10.0  -10.0  -10.0  -10.0  0.0
0.3  0.3  0.3  11.779  9.163  7.766  7.187  6.872  7.629  0.579  0.894  0.315  7.63  7.071  6.874  0.231  0.203  0.172  8.032  7.427  7.179  7.407  6.881  6.716  0.561  0.762  0.201  0.029  0.061  0.032  0.606  0.855  0.249  0.524  0.69  0.165  47.0
0.33  0.33  0.324  11.452  8.917  7.554  6.978  6.672  7.418  0.576  0.882  0.306  7.34  6.787  6.602  0.069  0.06  0.048  7.441  6.878  6.678  7.287  6.746  6.572  0.553  0.738  0.185  0.009  0.021  0.012  0.563  0.763  0.2  0.541  0.715  0.174  3.0
0.36  0.36  0.347  11.149  8.685  7.357  6.782  6.485  7.221  0.575  0.872  0.297  7.357  6.782  6.485  0.3  0.3  0.3  999.0  999.0  999.0  -999.0  -999.0  -999.0  0.575  0.872  0.297  0.2  0.2  0.2  10.0  10.0  10.0  -10.0  -10.0  -10.0  0.0
0.39  0.39  0.374  10.865  8.465  7.172  6.597  6.309  7.036  0.575  0.863  0.288  7.172  6.597  6.309  0.3  0.3  0.3  999.0  999.0  999.0  -999.0  -999.0  -999.0  0.575  0.863  0.288  0.2  0.2  0.2  10.0  10.0  10.0  -10.0  -10.0  -10.0  0.0
0.42  0.42  0.402  10.597  8.256  6.996  6.42  6.142  6.86  0.576  0.854  0.278  6.996  6.42  6.142  0.3  0.3  0.3  999.0  999.0  999.0  -999.0  -999.0  -999.0  0.576  0.854  0.278  0.2  0.2  0.2  10.0  10.0  10.0  -10.0  -10.0  -10.0  0.0
0.45  0.45  0.432  10.341  8.057  6.828  6.251  5.982  6.692  0.577  0.846  0.269  6.562  5.992  5.836  0.187  0.152  0.12  6.988  6.364  6.134  6.442  5.941  5.8  0.572  0.739  0.167  0.04  0.072  0.033  0.624  0.853  0.229  0.498  0.637  0.138  128.0
0.48  0.48  0.463  10.096  7.867  6.666  6.087  5.827  6.529  0.579  0.839  0.26  6.666  6.087  5.827  0.3  0.3  0.3  999.0  999.0  999.0  -999.0  -999.0  -999.0  0.579  0.839  0.26  0.2  0.2  0.2  10.0  10.0  10.0  -10.0  -10.0  -10.0  0.0
0.55  0.55  0.532  9.407  7.4  6.273  5.671  5.435  6.131  0.602  0.838  0.236  5.793  5.302  5.193  0.201  0.137  0.097  6.288  5.641  5.432  5.742  5.246  5.133  0.527  0.635  0.109  0.076  0.113  0.041  0.647  0.857  0.21  0.44  0.549  0.107  127.0
0.6  0.6  0.575  8.765  6.966  5.932  5.313  5.108  5.785  0.619  0.824  0.205  5.446  5.015  4.921  0.193  0.099  0.068  5.947  5.283  5.102  5.399  4.961  4.868  0.451  0.544  0.095  0.103  0.134  0.033  0.664  0.847  0.183  0.39  0.486  0.092  144.0
0.65  0.65  0.614  8.143  6.546  5.594  4.969  4.805  5.446  0.625  0.789  0.164  5.144  4.754  4.674  0.233  0.107  0.075  5.725  5.045  4.879  5.089  4.716  4.635  0.404  0.484  0.081  0.133  0.164  0.032  0.68  0.848  0.168  0.356  0.436  0.08  163.0
0.7  0.7  0.648  7.526  6.147  5.281  4.686  4.557  5.14  0.595  0.724  0.129  4.864  4.518  4.451  0.217  0.086  0.063  5.416  4.751  4.617  4.807  4.48  4.415  0.353  0.421  0.068  0.135  0.158  0.024  0.665  0.799  0.134  0.327  0.389  0.062  165.0
0.702  0.702  0.649  7.505  6.132  5.269  4.676  4.549  5.129  0.593  0.72  0.127  5.046  4.542  4.462  0.071  0.028  0.021  5.077  4.566  4.485  4.836  4.485  4.418  0.504  0.584  0.08  0.045  0.052  0.007  0.512  0.593  0.081  0.351  0.418  0.067  20.0
0.738  0.738  0.666  7.065  5.851  5.065  4.53  4.419  4.94  0.535  0.646  0.111  5.075  4.499  4.406  0.155  0.084  0.069  5.193  4.576  4.47  4.831  4.379  4.308  0.576  0.669  0.093  0.072  0.087  0.015  0.617  0.723  0.106  0.452  0.523  0.071  3.0
0.75  0.75  0.672  6.933  5.764  5.004  4.49  4.382  4.884  0.514  0.622  0.108  4.612  4.299  4.248  0.207  0.093  0.073  5.132  4.534  4.432  4.547  4.246  4.201  0.315  0.368  0.052  0.116  0.136  0.02  0.598  0.699  0.101  0.3  0.346  0.045  163.0
0.8  0.8  0.711  6.478  5.434  4.745  4.292  4.193  4.64  0.453  0.552  0.099  4.369  4.082  4.042  0.199  0.102  0.082  4.87  4.334  4.243  4.297  4.022  3.988  0.289  0.33  0.041  0.098  0.118  0.02  0.536  0.627  0.091  0.275  0.309  0.033  163.0
