#Mini MPD Rad MV_j MI_c MJ_2M MH_2M MK_2M MHw sigmaJ sigmaH sigmaKs minJ minH minKs maxJ maxH maxKs
1.1413  1.139  2.363  3.516  2.626  2.007  1.611  1.525  1.916  2.4906  2.6762  2.7766  -6.276  -7.229  -7.715  2.2418  1.9122  1.8662
1.1424  1.14  2.44  3.506  2.599  1.964  1.557  1.47  1.87  2.4996  2.6857  2.7862  -6.276  -7.229  -7.715  2.2536  1.933  1.8824
1.1434  1.141  2.528  3.487  2.562  1.913  1.494  1.406  1.816  2.4939  2.6796  2.7824  -6.276  -7.229  -7.715  2.2369  1.9056  1.8608
1.1445  1.143  2.63  3.445  2.506  1.847  1.419  1.329  1.748  2.5267  2.7149  2.823  -6.296  -7.244  -7.735  2.2458  1.9167  1.876
1.1448  1.143  2.656  3.432  2.49  1.829  1.4  1.309  1.73  2.5246  2.7123  2.8202  -6.296  -7.244  -7.735  2.2439  1.9104  1.8628
1.1463  1.144  2.823  3.342  2.387  1.715  1.278  1.187  1.614  2.5108  2.6972  2.8037  -6.296  -7.244  -7.735  2.247  1.9172  1.876
1.1477  1.146  3.0  3.242  2.277  1.598  1.154  1.062  1.495  2.5035  2.6898  2.7973  -6.296  -7.244  -7.735  2.2311  1.8649  1.804
1.1493  1.147  3.223  3.116  2.143  1.456  1.006  0.912  1.352  2.5054  2.691  2.7976  -6.296  -7.244  -7.735  2.2317  1.8663  1.804
1.1506  1.148  3.437  3.002  2.021  1.328  0.873  0.779  1.223  2.5277  2.7148  2.822  -6.296  -7.244  -7.735  2.2339  1.892  1.8376
1.1515  1.149  3.62  2.907  1.921  1.223  0.764  0.67  1.117  2.5371  2.7243  2.8325  -6.296  -7.244  -7.735  2.2545  1.9198  1.876
1.1527  1.151  3.868  2.786  1.793  1.089  0.626  0.531  0.982  2.5308  2.7179  2.83  -6.311  -7.262  -7.757  2.2324  1.892  1.8366
1.1538  1.152  4.132  2.666  1.666  0.955  0.488  0.393  0.847  2.5424  2.7304  2.8412  -6.311  -7.262  -7.757  2.2299  1.8745  1.8115
1.1547  1.153  4.428  2.542  1.533  0.816  0.344  0.248  0.706  2.5552  2.7443  2.8552  -6.311  -7.262  -7.757  2.2389  1.9068  1.8566
1.1556  1.153  4.73  2.425  1.409  0.685  0.208  0.111  0.574  2.5588  2.7477  2.8587  -6.311  -7.262  -7.757  2.235  1.897  1.85
1.1564  1.154  5.046  2.313  1.288  0.557  0.074  -0.023  0.445  2.5587  2.7475  2.8589  -6.311  -7.262  -7.757  2.2336  1.892  1.8404
1.157  1.155  5.388  2.202  1.167  0.429  -0.059  -0.158  0.315  2.586  2.7766  2.8892  -6.311  -7.262  -7.757  2.2349  1.892  1.8461
1.1577  1.155  5.763  2.088  1.043  0.298  -0.197  -0.296  0.183  2.5576  2.7458  2.8528  -6.311  -7.262  -7.757  2.2497  1.9107  1.8578
1.1583  1.156  6.15  1.977  0.923  0.168  -0.332  -0.432  0.051  2.5446  2.7312  2.8375  -6.311  -7.262  -7.757  2.2464  1.9074  1.8534
1.1588  1.156  6.573  1.868  0.803  0.04  -0.467  -0.568  -0.078  2.5591  2.7472  2.8556  -6.311  -7.262  -7.757  2.2344  1.8628  1.804
1.1592  1.157  7.012  1.763  0.687  -0.084  -0.598  -0.701  -0.204  2.5762  2.7655  2.8743  -6.311  -7.262  -7.757  2.2361  1.8947  1.8491
1.1596  1.157  7.46  1.662  0.575  -0.205  -0.726  -0.83  -0.327  2.5916  2.7818  2.8911  -6.311  -7.262  -7.757  2.2374  1.8974  1.8503
1.16  1.157  7.963  1.558  0.459  -0.331  -0.858  -0.963  -0.454  2.5907  2.78  2.8878  -6.311  -7.262  -7.757  2.2467  1.9132  1.8584
1.1604  1.158  8.489  1.457  0.346  -0.453  -0.987  -1.094  -0.578  2.5942  2.7835  2.8915  -6.311  -7.262  -7.757  2.244  1.9098  1.8572
1.1607  1.158  9.054  1.357  0.234  -0.575  -1.117  -1.226  -0.702  2.5989  2.7885  2.8967  -6.311  -7.262  -7.757  2.2524  1.9292  1.8722
1.161  1.158  9.646  1.26  0.124  -0.694  -1.244  -1.354  -0.823  2.5988  2.7884  2.8962  -6.311  -7.262  -7.757  2.244  1.916  1.859
1.1613  1.158  10.248  1.168  0.019  -0.809  -1.365  -1.477  -0.94  2.6007  2.7898  2.8975  -6.311  -7.262  -7.757  2.244  1.9148  1.8588
1.1616  1.158  10.599  1.116  -0.041  -0.875  -1.434  -1.547  -1.006  2.5883  2.7766  2.8838  -6.311  -7.262  -7.757  2.2452  1.9226  1.8656
1.1618  1.159  10.274  1.159  0.011  -0.817  -1.372  -1.484  -0.947  2.5447  2.7288  2.8357  -6.311  -7.262  -7.757  2.201  1.8287  1.7655
1.162  1.159  9.675  1.245  0.112  -0.704  -1.252  -1.362  -0.833  2.5356  2.7189  2.8255  -6.311  -7.262  -7.757  2.198  1.813  1.7406
1.1621  1.159  9.496  1.272  0.143  -0.67  -1.215  -1.325  -0.798  2.5359  2.7192  2.8258  -6.311  -7.262  -7.757  2.1995  1.8145  1.7417
1.1622  1.159  9.907  1.208  0.07  -0.749  -1.3  -1.411  -0.878  2.5311  2.7141  2.8205  -6.311  -7.262  -7.757  2.1958  1.8114  1.7428
1.1625  1.159  10.565  1.111  -0.042  -0.872  -1.43  -1.542  -1.003  2.5454  2.7293  2.8405  -6.324  -7.283  -7.779  2.1796  1.776  1.7112
1.1627  1.159  11.273  1.015  -0.153  -0.994  -1.56  -1.674  -1.127  2.5446  2.7281  2.8393  -6.324  -7.283  -7.779  2.166  1.7675  1.7055
1.163  1.159  12.041  0.919  -0.267  -1.119  -1.692  -1.808  -1.254  2.5411  2.724  2.835  -6.324  -7.283  -7.779  2.1482  1.7614  1.7034
1.1632  1.159  12.846  0.826  -0.376  -1.239  -1.821  -1.938  -1.376  2.5417  2.7247  2.8355  -6.324  -7.283  -7.779  2.1478  1.7611  1.7034
1.1634  1.159  13.688  0.735  -0.484  -1.359  -1.948  -2.067  -1.498  2.5462  2.7295  2.8405  -6.324  -7.283  -7.779  2.1402  1.7554  1.6994
1.1635  1.159  14.603  0.645  -0.592  -1.479  -2.077  -2.198  -1.62  2.555  2.7383  2.851  -6.324  -7.283  -7.779  2.1807  1.7765  1.7114
1.1637  1.159  15.58  0.556  -0.7  -1.598  -2.205  -2.327  -1.742  2.555  2.7382  2.851  -6.324  -7.283  -7.779  2.1808  1.777  1.7116
1.1639  1.159  16.59  0.47  -0.805  -1.715  -2.33  -2.455  -1.861  2.5531  2.7363  2.8491  -6.324  -7.283  -7.779  2.1808  1.777  1.7116
1.164  1.159  17.716  0.384  -0.912  -1.835  -2.459  -2.586  -1.983  2.5543  2.7375  2.8502  -6.324  -7.283  -7.779  2.1808  1.7768  1.7115
1.1641  1.159  18.865  0.299  -1.013  -1.949  -2.578  -2.709  -2.098  2.5559  2.7392  2.852  -6.324  -7.283  -7.779  2.1823  1.7819  1.7139
1.1642  1.159  20.089  0.213  -1.114  -2.062  -2.696  -2.831  -2.213  2.5526  2.7358  2.8487  -6.324  -7.283  -7.779  2.1806  1.7757  1.7136
1.1643  1.159  21.402  0.127  -1.215  -2.177  -2.814  -2.954  -2.328  2.5568  2.7401  2.8537  -6.324  -7.283  -7.779  2.1804  1.7804  1.7186
1.1644  1.158  22.801  0.045  -1.313  -2.288  -2.93  -3.076  -2.441  2.5488  2.7315  2.845  -6.324  -7.283  -7.779  2.1673  1.7716  1.7098
1.1645  1.158  24.264  -0.037  -1.412  -2.4  -3.046  -3.198  -2.554  2.5454  2.7277  2.8412  -6.324  -7.283  -7.779  2.1494  1.7677  1.7056
1.1646  1.158  25.832  -0.117  -1.506  -2.51  -3.16  -3.317  -2.665  2.5478  2.7304  2.844  -6.324  -7.283  -7.779  2.1673  1.7716  1.7098
1.1647  1.158  27.489  -0.197  -1.602  -2.62  -3.275  -3.438  -2.776  2.5505  2.7332  2.8466  -6.324  -7.283  -7.779  2.166  1.7715  1.7095
